Date,aapl,cvx,ge
2012-11-28,582.94,105.58,21.14
2012-11-27,584.78,103.38,20.87
2012-11-26,589.53,104.99,21.06
2012-11-23,571.50,105.47,21.04
2012-11-21,561.70,104.10,20.68
2012-11-20,560.91,103.56,20.62
2012-11-19,565.73,104.35,20.66
2012-11-16,527.68,102.40,20.15
2012-11-15,525.62,101.62,20.06
2012-11-14,536.88,102.50,20.01
2012-11-13,542.90,104.38,20.68
2012-11-12,542.83,105.02,20.89
2012-11-9,547.06,104.94,21.00
2012-11-8,537.75,104.96,20.89
2012-11-7,558.00,106.59,21.13
2012-11-6,580.20,109.42,21.59
2012-11-5,581.96,108.26,21.41
2012-11-2,574.18,107.44,21.31
2012-11-1,593.83,110.51,21.34
2012-10-31,592.61,109.30,21.06
2012-10-26,601.25,110.23,21.11
2012-10-25,606.77,110.01,21.26
2012-10-24,614.03,108.77,21.26
2012-10-23,610.57,108.44,21.28
2012-10-22,631.15,111.78,21.70
2012-10-19,607.07,112.41,22.03
2012-10-18,629.76,113.67,22.81
2012-10-17,641.68,114.20,22.91
2012-10-16,646.84,113.11,22.64
2012-10-15,631.87,111.86,22.64
2012-10-12,626.85,111.11,22.48
2012-10-11,625.24,112.09,22.51
2012-10-10,638.00,111.49,22.43
2012-10-9,632.96,116.36,22.62
2012-10-8,635.27,116.61,22.92
2012-10-5,649.62,116.50,23.12
2012-10-4,663.77,116.15,22.95
2012-10-3,668.40,115.15,22.91
2012-10-2,658.30,116.95,22.79
2012-10-1,656.39,116.25,22.81
2012-9-28,664.07,115.56,22.71
2012-9-27,678.22,116.20,22.73
2012-9-26,662.16,115.31,22.10
2012-9-25,670.48,115.93,22.31
2012-9-24,687.65,116.77,22.36
2012-9-21,696.91,116.79,22.53
2012-9-20,695.52,116.84,22.43
2012-9-19,698.91,115.60,22.26
2012-9-18,698.72,115.97,22.07
2012-9-17,696.60,116.14,21.88
2012-9-14,688.14,116.25,21.94
2012-9-13,679.87,115.56,21.85
2012-9-12,666.74,113.50,21.72
2012-9-11,657.59,113.20,21.43
2012-9-10,659.73,112.99,21.32
2012-9-7,677.35,113.03,21.43
2012-9-6,673.20,112.06,21.15
2012-9-5,667.18,109.82,20.49
2012-9-4,671.90,110.27,20.35
2012-8-31,662.22,111.20,20.55
2012-8-30,660.85,109.98,20.48
2012-8-29,670.41,110.84,20.66
2012-8-28,671.73,111.39,20.65
2012-8-27,672.61,110.77,20.69
2012-8-24,660.20,111.05,20.64
2012-8-23,659.62,110.34,20.48
2012-8-22,665.83,111.19,20.62
2012-8-21,653.08,111.02,20.69
2012-8-20,662.13,111.56,20.77
2012-8-17,645.16,111.70,20.84
2012-8-16,633.45,112.35,20.89
2012-8-15,627.96,111.61,20.80
